RECTIME,RANGVX,RANGX
3.23,-39.0014,-21.5112
3.24,-41.6259,-21.9067
3.25,-42.9077,-22.3242
3.26,-43.0908,-22.7526
3.27,-42.7246,-23.1866
3.28,-41.9311,-23.6206
3.29,-40.7715,-24.0545
3.3,-40.2221,-24.483
3.31,-40.7104,-24.9115
3.32,-41.1377,-25.3399
3.33,-42.2363,-25.7684
3.34,-44.0063,-26.1969
3.35,-45.5322,-26.6473
3.36,-47.2412,-27.1032
3.37,-47.9736,-27.5811
3.38,-47.7295,-28.07
3.39,-47.4853,-28.5534
3.4,-47.7295,-29.0368
3.41,-48.0957,-29.5147
3.42,-48.4619,-29.9981
3.43,-49.0722,-30.4925
3.44,-49.9878,-30.9924
3.45,-51.1474,-31.5087
3.46,-52.3071,-32.0416
3.47,-53.833,-32.5744
3.48,-55.2978,-33.1237
3.49,-56.7016,-33.684
3.5,-57.9834,-34.2498
3.51,-58.7768,-34.8211
3.52,-59.143,-35.4089
3.53,-59.143,-35.9967
3.54,-59.2651,-36.5844
3.55,-59.5092,-37.1722
3.56,-59.6924,-37.7655
3.57,-59.4482,-38.3587
3.58,-58.8379,-38.952
3.59,-57.6172,-39.5343
3.6,-56.2133,-40.1001
3.61,-54.6264,-40.6549
3.62,-52.9175,-41.1987
3.63,-50.6592,-41.737
3.64,-48.0346,-42.2589
3.65,-46.0205,-42.7533
3.66,-44.9218,-43.2312
3.67,-43.8842,-43.6926
3.68,-42.8467,-44.143
3.69,-42.1142,-44.5825
3.7,-41.0156,-45.0219
3.71,-39.4287,-45.4504
3.72,-37.8418,-45.8679
3.73,-37.0483,-46.2634
3.74,-37.1704,-46.6479
3.75,-38.0859,-47.0379
3.76,-39.1235,-47.4334
3.77,-39.5508,-47.8509
3.78,-39.6728,-48.2684
3.79,-39.4897,-48.6859
3.8,-39.1845,-49.1034
3.81,-39.0625,-49.5153
3.82,-39.1845,-49.9218
3.83,-39.6728,-50.3283
3.84,-40.2832,-50.7403
3.85,-40.8325,-51.1578
3.86,-41.2597,-51.5863
3.87,-42.2363,-52.0147
3.88,-43.3349,-52.4542
3.89,-44.1284,-52.9101
3.9,-44.5556,-53.377
3.91,-44.8608,-53.8494
3.92,-44.9829,-54.3219
3.93,-45.227,-54.7888
3.94,-45.227,-55.2557
3.95,-45.0439,-55.7226
3.96,-44.7387,-56.1895
3.97,-44.3115,-56.651
3.98,-43.7622,-57.1124
3.99,-42.9687,-57.5738
4,-42.1142,-58.0297
4.01,-41.0766,-58.4802
4.02,-40.1611,-58.9141
4.03,-39.6728,-59.3371
4.04,-39.5508,-59.7491
4.05,-39.7339,-60.1611
4.06,-39.7339,-60.5731
4.07,-39.3676,-60.9961
4.08,-38.8794,-61.4135
4.09,-38.208,-61.8255
4.1,-37.3535,-62.232
4.11,-36.1328,-62.6385
4.12,-35.2173,-63.023
4.13,-34.6069,-63.4021
4.14,-34.3628,-63.7756
4.15,-34.1797,-64.1436
4.16,-33.9355,-64.5172
4.17,-33.5083,-64.8852
4.18,-33.2641,-65.2423
4.19,-33.5693,-65.5993
4.2,-33.9966,-65.9564
4.21,-34.3017,-66.3189
4.22,-34.5459,-66.687
4.23,-34.4238,-67.0605
4.24,-33.9966,-67.434
4.25,-33.4472,-67.8021
4.26,-32.8369,-68.1646
4.27,-32.3486,-68.5217
4.28,-32.3486,-68.8733
4.29,-33.1421,-69.2193
4.3,-34.5459,-69.5819
4.31,-36.56,-69.9609
4.32,-38.8183,-70.3674
4.33,-41.0156,-70.8014
